
      NO.            	   Temp              	  %RH              	  WB                 	  DP                 	 Heure 
      1          	     -1.0           	       15.1           	       -3.4           	      -24.2           	17-02-22/15:23:24 
      2          	     -1.8           	       16.0           	       -4.1           	      -24.2           	17-02-22/15:23:54 
      3          	     -2.5           	       16.1           	       -4.7           	      -24.7           	17-02-22/15:24:24 
      4          	     -3.3           	       16.2           	       -5.4           	      -25.3           	17-02-22/15:24:54 
      5          	     -4.0           	       16.3           	       -6.0           	      -25.8           	17-02-22/15:25:24 
      6          	     -4.7           	       16.6           	       -6.6           	      -26.2           	17-02-22/15:25:54 
      7          	     -5.4           	       16.8           	       -7.2           	      -26.7           	17-02-22/15:26:24 
      8          	     -6.1           	       17.1           	       -7.9           	      -27.0           	17-02-22/15:26:54 
      9          	     -6.7           	       17.3           	       -8.4           	      -27.4           	17-02-22/15:27:24 
     10          	     -7.3           	       17.7           	       -8.9           	      -27.7           	17-02-22/15:27:54 
     11          	     -8.0           	       18.2           	       -9.6           	      -28.0           	17-02-22/15:28:24 
     12          	     -8.5           	       18.5           	      -10.0           	      -28.2           	17-02-22/15:28:54 
     13          	     -9.1           	       18.9           	      -10.6           	      -28.5           	17-02-22/15:29:24 
     14          	     -9.6           	       19.2           	      -11.0           	      -28.7           	17-02-22/15:29:54 
     15          	    -10.2           	       19.5           	      -11.6           	      -29.1           	17-02-22/15:30:24 
     16          	    -10.6           	       20.0           	      -11.9           	      -29.1           	17-02-22/15:30:54 
     17          	    -11.2           	       20.3           	      -12.5           	      -29.5           	17-02-22/15:31:24 
     18          	    -11.6           	       20.7           	      -12.8           	      -29.6           	17-02-22/15:31:54 
     19          	    -12.0           	       21.2           	      -13.2           	      -29.7           	17-02-22/15:32:24 
     20          	    -12.5           	       21.8           	      -13.7           	      -29.8           	17-02-22/15:32:54 
     21          	    -13.0           	       22.6           	      -14.1           	      -29.9           	17-02-22/15:33:24 
     22          	    -13.3           	       23.2           	      -14.4           	      -29.9           	17-02-22/15:33:54 
     23          	    -13.7           	       24.0           	      -14.8           	      -29.9           	17-02-22/15:34:24 
     24          	    -14.1           	       24.8           	      -15.2           	      -29.9           	17-02-22/15:34:54 
     25          	    -14.3           	       25.7           	      -15.4           	      -29.7           	17-02-22/15:35:24 
     26          	    -14.7           	       26.6           	      -15.7           	      -29.6           	17-02-22/15:35:54 
     27          	    -14.9           	       27.3           	      -15.9           	      -29.5           	17-02-22/15:36:24 
     28          	    -15.3           	       28.3           	      -16.3           	      -29.5           	17-02-22/15:36:54 
     29          	    -15.5           	       29.2           	      -16.5           	      -29.4           	17-02-22/15:37:24 
     30          	    -15.7           	       30.1           	      -16.7           	      -29.2           	17-02-22/15:37:54 
     31          	    -15.9           	       31.1           	      -16.8           	      -29.0           	17-02-22/15:38:24 
     32          	    -16.1           	       31.8           	      -17.0           	      -29.0           	17-02-22/15:38:54 
     33          	    -16.3           	       32.7           	      -17.2           	      -28.9           	17-02-22/15:39:24 
     34          	    -16.5           	       33.5           	      -17.4           	      -28.8           	17-02-22/15:39:54 
     35          	    -16.7           	       34.3           	      -17.6           	      -28.7           	17-02-22/15:40:24 
     36          	    -16.8           	       35.2           	      -17.7           	      -28.5           	17-02-22/15:40:54 
     37          	    -17.0           	       36.1           	      -17.9           	      -28.4           	17-02-22/15:41:24 
     38          	    -17.1           	       36.9           	      -18.0           	      -28.3           	17-02-22/15:41:54 
     39          	    -17.2           	       37.8           	      -18.0           	      -28.1           	17-02-22/15:42:24 
     40          	    -17.4           	       38.6           	      -18.2           	      -28.1           	17-02-22/15:42:54 
     41          	    -17.5           	       39.4           	      -18.3           	      -28.0           	17-02-22/15:43:24 
     42          	    -17.6           	       40.2           	      -18.4           	      -27.8           	17-02-22/15:43:54 
     43          	    -17.7           	       40.9           	      -18.5           	      -27.7           	17-02-22/15:44:24 
     44          	    -17.8           	       41.6           	      -18.6           	      -27.6           	17-02-22/15:44:54 
     45          	    -17.9           	       42.3           	      -18.7           	      -27.6           	17-02-22/15:45:24 
     46          	    -18.0           	       42.9           	      -18.8           	      -27.5           	17-02-22/15:45:54 
     47          	    -18.0           	       43.7           	      -18.8           	      -27.3           	17-02-22/15:46:24 
     48          	    -18.1           	       44.3           	      -18.9           	      -27.2           	17-02-22/15:46:54 
     49          	    -18.1           	       44.9           	      -18.9           	      -27.1           	17-02-22/15:47:24 
     50          	    -18.2           	       45.7           	      -18.9           	      -27.0           	17-02-22/15:47:54 
     51          	    -18.3           	       46.3           	      -19.0           	      -27.0           	17-02-22/15:48:24 
     52          	    -18.4           	       46.9           	      -19.1           	      -26.9           	17-02-22/15:48:54 
     53          	    -18.6           	       47.5           	      -19.3           	      -27.0           	17-02-22/15:49:24 
     54          	    -18.5           	       48.2           	      -19.2           	      -26.7           	17-02-22/15:49:54 
     55          	    -18.6           	       48.7           	      -19.3           	      -26.7           	17-02-22/15:50:24 
     56          	    -18.6           	       49.2           	      -19.3           	      -26.6           	17-02-22/15:50:54 
     57          	    -18.8           	       49.7           	      -19.5           	      -26.7           	17-02-22/15:51:24 
     58          	    -18.8           	       50.2           	      -19.5           	      -26.5           	17-02-22/15:51:54 
     59          	    -18.8           	       50.7           	      -19.5           	      -26.4           	17-02-22/15:52:24 
     60          	    -18.8           	       51.2           	      -19.5           	      -26.3           	17-02-22/15:52:54 
     61          	    -18.9           	       51.7           	      -19.6           	      -26.3           	17-02-22/15:53:24 
     62          	    -18.9           	       51.7           	      -19.6           	      -26.3           	17-02-22/15:53:54 
     63          	    -19.0           	       51.5           	      -19.7           	      -26.5           	17-02-22/15:54:24 
     64          	    -19.1           	       51.1           	      -19.8           	      -26.6           	17-02-22/15:54:54 
     65          	    -19.2           	       50.6           	      -19.9           	      -26.8           	17-02-22/15:55:24 
     66          	    -19.4           	       49.9           	      -20.0           	      -27.2           	17-02-22/15:55:54 
     67          	    -19.4           	       49.2           	      -20.1           	      -27.3           	17-02-22/15:56:24 
     68          	    -19.5           	       48.7           	      -20.2           	      -27.5           	17-02-22/15:56:54 
     69          	    -19.7           	       48.3           	      -20.3           	      -27.8           	17-02-22/15:57:24 
     70          	    -19.8           	       47.7           	      -20.4           	      -28.0           	17-02-22/15:57:54 
     71          	    -19.9           	       47.5           	      -20.5           	      -28.2           	17-02-22/15:58:24 
     72          	    -20.1           	       47.1           	      -20.7           	      -28.4           	17-02-22/15:58:54 
     73          	    -20.2           	       46.8           	      -20.8           	      -28.6           	17-02-22/15:59:24 
     74          	    -20.3           	       46.6           	      -20.9           	      -28.7           	17-02-22/15:59:54 
     75          	    -20.5           	       46.3           	      -21.1           	      -29.0           	17-02-22/16:00:24 
     76          	    -20.6           	       46.0           	      -21.2           	      -29.1           	17-02-22/16:00:54 
     77          	    -20.8           	       45.8           	      -21.4           	      -29.4           	17-02-22/16:01:24 
     78          	    -20.9           	       45.5           	      -21.5           	      -29.5           	17-02-22/16:01:54 
     79          	    -21.0           	       45.5           	      -21.6           	      -29.6           	17-02-22/16:02:24 
     80          	    -21.2           	       45.2           	      -21.8           	      -29.9           	17-02-22/16:02:54 
     81          	    -21.4           	       45.1           	      -22.0           	      -30.1           	17-02-22/16:03:24 
     82          	    -21.5           	       45.1           	      -22.1           	      -30.2           	17-02-22/16:03:54 
     83          	    -21.6           	       45.0           	      -22.2           	      -30.3           	17-02-22/16:04:24 
     84          	    -21.8           	       44.9           	      -22.4           	      -30.5           	17-02-22/16:04:54 
     85          	    -21.9           	       44.9           	      -22.5           	      -30.6           	17-02-22/16:05:24 
     86          	    -22.0           	       45.0           	      -22.5           	      -30.7           	17-02-22/16:05:54 
     87          	    -22.1           	       45.0           	      -22.6           	      -30.8           	17-02-22/16:06:24 
     88          	    -22.3           	       44.9           	      -22.8           	      -31.0           	17-02-22/16:06:54 
     89          	    -22.4           	       45.1           	      -22.9           	      -31.0           	17-02-22/16:07:24 
     90          	    -22.6           	       45.0           	      -23.1           	      -31.2           	17-02-22/16:07:54 
     91          	    -22.7           	       45.1           	      -23.2           	      -31.3           	17-02-22/16:08:24 
     92          	    -22.7           	       45.4           	      -23.2           	      -31.2           	17-02-22/16:08:54 
     93          	    -22.9           	       45.7           	      -23.4           	      -31.3           	17-02-22/16:09:24 
     94          	    -22.9           	       46.1           	      -23.4           	      -31.2           	17-02-22/16:09:54 
     95          	    -23.1           	       46.6           	      -23.6           	      -31.3           	17-02-22/16:10:24 
     96          	    -23.2           	       47.3           	      -23.7           	      -31.3           	17-02-22/16:10:54 
     97          	    -23.1           	       47.9           	      -23.6           	      -31.0           	17-02-22/16:11:24 
     98          	    -23.2           	       48.7           	      -23.7           	      -31.0           	17-02-22/16:11:54 
     99          	    -23.3           	       49.4           	      -23.8           	      -30.9           	17-02-22/16:12:24 
    100          	    -23.3           	       50.1           	      -23.8           	      -30.8           	17-02-22/16:12:54 
    101          	    -23.4           	       51.0           	      -23.9           	      -30.7           	17-02-22/16:13:24 
    102          	    -23.4           	       51.7           	      -23.9           	      -30.5           	17-02-22/16:13:54 
    103          	    -23.4           	       52.6           	      -23.9           	      -30.3           	17-02-22/16:14:24 
    104          	    -23.4           	       53.4           	      -23.8           	      -30.2           	17-02-22/16:14:54 
    105          	    -23.6           	       54.2           	      -24.0           	      -30.2           	17-02-22/16:15:24 
    106          	    -23.5           	       55.0           	      -23.9           	      -30.0           	17-02-22/16:15:54 
    107          	    -23.5           	       55.7           	      -23.9           	      -29.8           	17-02-22/16:16:24 
    108          	    -23.5           	       56.6           	      -23.9           	      -29.7           	17-02-22/16:16:54 
    109          	    -23.5           	       57.2           	      -23.9           	      -29.6           	17-02-22/16:17:24 
    110          	    -23.4           	       58.1           	      -23.8           	      -29.3           	17-02-22/16:17:54 
